timestamp,market,buy_volume,sell_volume,net_flow,buy_%,sell_%,net_%,trend,message
2026-06-05T03:32:06.257658,BTC/USDT,640.43700902,701.842462,-61.40545297999995,47.71264277277004,52.28735722722995,-4.574714454459909,⚪,⚪ Buy: 47.7% | Sell: 52.3% | Net: -4.6% | Value: -61
2026-06-05T03:32:07.979395,ETH/USDT,19186.94118115628,20535.82862410419,-1348.887442947911,48.30212312791783,51.69787687208217,-3.3957537441643324,⚪,"⚪ Buy: 48.3% | Sell: 51.7% | Net: -3.4% | Value: -1,349"
2026-06-05T03:32:10.861533,BNB/USDT,4377.56446,4508.6936399999995,-131.1291799999999,49.26217999452435,50.73782000547564,-1.4756400109512904,⚪,⚪ Buy: 49.3% | Sell: 50.7% | Net: -1.5% | Value: -131
2026-06-05T03:32:12.735286,XRP/USDT,4660082.059359999,5168180.982039999,-508098.92267999984,47.41511332908107,52.58488667091893,-5.169773341837859,⚪,"⚪ Buy: 47.4% | Sell: 52.6% | Net: -5.2% | Value: -508,099"
2026-06-05T03:32:14.625572,SOL/USDT,60412.075142434005,64964.63909495601,-4552.563952522003,48.18444597937775,51.815554020622244,-3.631108041244497,⚪,"⚪ Buy: 48.2% | Sell: 51.8% | Net: -3.6% | Value: -4,553"
2026-06-05T03:32:16.301080,DOGE/USDT,37796468.329780005,36760246.00142,1036222.3283600062,50.694922206306494,49.305077793693506,1.3898444126129827,⚪,"⚪ Buy: 50.7% | Sell: 49.3% | Net: 1.4% | Value: 1,036,222"
2026-06-05T03:32:17.754779,ADA/USDT,8385116.547000001,11228682.342999998,-2843565.7959999973,42.751109022919124,57.24889097708087,-14.497781954161749,⚪,"⚪ Buy: 42.8% | Sell: 57.2% | Net: -14.5% | Value: -2,843,566"
2026-06-05T03:32:19.335096,TRX/USDT,2647562.2460000003,2742454.3340000003,-94892.08799999999,49.119742151145665,50.880257848854335,-1.76051569770867,⚪,"⚪ Buy: 49.1% | Sell: 50.9% | Net: -1.8% | Value: -94,892"
2026-06-05T03:32:20.878268,AVAX/USDT,98031.35238,105408.04991999999,-7376.697539999994,48.18700373265892,51.81299626734107,-3.625992534682154,⚪,"⚪ Buy: 48.2% | Sell: 51.8% | Net: -3.6% | Value: -7,377"
2026-06-05T03:32:23.766679,DOT/USDT,2517807.706991201,2514022.5588608007,3785.1481304001063,50.03761204105083,49.96238795894918,0.07522408210164848,⚪,"⚪ Buy: 50.0% | Sell: 50.0% | Net: 0.1% | Value: 3,785"
2026-06-05T03:32:25.267008,LINK/USDT,214349.35609999998,221650.2371,-7300.881000000023,49.1627422234026,50.83725777659739,-1.6745155531947922,⚪,"⚪ Buy: 49.2% | Sell: 50.8% | Net: -1.7% | Value: -7,301"
2026-06-05T03:32:26.788257,SUI/USDT,2209455.2199999997,2291736.48,-82281.26000000024,49.08600582374663,50.913994176253375,-1.827988352506743,⚪,"⚪ Buy: 49.1% | Sell: 50.9% | Net: -1.8% | Value: -82,281"
2026-06-05T03:32:28.215511,SHIB/USDT,169758938351.29333,181439460120.70996,-11680521769.416626,48.33704797341953,51.66295202658047,-3.325904053160929,⚪,"⚪ Buy: 48.3% | Sell: 51.7% | Net: -3.3% | Value: -11,680,521,769"
2026-06-05T03:32:30.308575,LTC/USDT,21483.563800000004,23740.4152,-2256.851399999996,47.50480668673581,52.495193313264174,-4.990386626528363,⚪,"⚪ Buy: 47.5% | Sell: 52.5% | Net: -5.0% | Value: -2,257"
2026-06-05T03:32:32.996193,ATOM/USDT,41002.04380000001,48390.486899999996,-7388.4430999999895,45.86741585558446,54.13258414441554,-8.265168288831081,⚪,"⚪ Buy: 45.9% | Sell: 54.1% | Net: -8.3% | Value: -7,388"
2026-06-05T03:32:35.078000,XLM/USDT,3950208.706,4189602.754,-239394.04800000042,48.52948652940912,51.47051347059089,-2.941026941181761,⚪,"⚪ Buy: 48.5% | Sell: 51.5% | Net: -2.9% | Value: -239,394"
2026-06-05T03:32:37.789227,UNI/USDT,799989.14232,935978.89158,-135989.74926000007,46.08317242586295,53.91682757413705,-7.833655148274102,⚪,"⚪ Buy: 46.1% | Sell: 53.9% | Net: -7.8% | Value: -135,990"
2026-06-05T03:32:39.158611,ICP/USDT,89723.01076,94018.95584,-4295.94507999999,48.830984243966405,51.16901575603361,-2.3380315120672006,⚪,"⚪ Buy: 48.8% | Sell: 51.2% | Net: -2.3% | Value: -4,296"
2026-06-05T03:32:40.966670,APT/USDT,58608.39743999999,61923.67626,-3315.278820000007,48.62473169247398,51.37526830752602,-2.750536615052037,⚪,"⚪ Buy: 48.6% | Sell: 51.4% | Net: -2.8% | Value: -3,315"
2026-06-05T03:32:42.435604,NEAR/USDT,2410914.1270245803,2719186.3459497197,-308272.2189251394,46.99545632147813,53.00454367852186,-6.009087357043732,⚪,"⚪ Buy: 47.0% | Sell: 53.0% | Net: -6.0% | Value: -308,272"
2026-06-05T03:32:42.763881,AAPL,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:42.915371,MSFT,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:43.039111,GOOG,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:43.119294,GC=F,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:43.213112,CL=F,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:43.300479,TSLA,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-06-05T03:32:43.414333,NVDA,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
