timestamp,market,buy_volume,sell_volume,net_flow,buy_%,sell_%,net_%,trend,message
2026-04-11T02:03:34.891653,BTC/USDT,322.753541698,314.853088332,7.900453365999965,50.61953977530222,49.38046022469777,1.2390795506044598,⚪,⚪ Buy: 50.6% | Sell: 49.4% | Net: 1.2% | Value: 8
2026-04-11T02:03:36.026313,ETH/USDT,8709.19949676,8485.827526239997,223.37197052000374,50.64952491851634,49.35047508148367,1.2990498370326626,⚪,⚪ Buy: 50.6% | Sell: 49.4% | Net: 1.3% | Value: 223
2026-04-11T02:03:37.310844,BNB/USDT,2444.6317399999994,2576.71486,-132.0831200000007,48.68478387849187,51.315216121508136,-2.6304322430162603,⚪,⚪ Buy: 48.7% | Sell: 51.3% | Net: -2.6% | Value: -132
2026-04-11T02:03:38.634407,XRP/USDT,4153772.456909708,4526408.2805145625,-372635.8236048543,47.85352497328627,52.14647502671372,-4.2929500534274485,⚪,"⚪ Buy: 47.9% | Sell: 52.1% | Net: -4.3% | Value: -372,636"
2026-04-11T02:03:40.108578,SOL/USDT,39068.626399838,44507.299599892,-5438.673200054,46.74626805805803,53.253731941941965,-6.507463883883942,⚪,"⚪ Buy: 46.7% | Sell: 53.3% | Net: -6.5% | Value: -5,439"
2026-04-11T02:03:41.332975,DOGE/USDT,10021348.718860002,9814801.33894,206547.37992000207,50.52063374021206,49.47936625978794,1.041267480424122,⚪,"⚪ Buy: 50.5% | Sell: 49.5% | Net: 1.0% | Value: 206,547"
2026-04-11T02:03:42.566696,ADA/USDT,1557524.018,1759033.852,-201509.83400000003,46.96206365306087,53.03793634693912,-6.075872693878248,⚪,"⚪ Buy: 47.0% | Sell: 53.0% | Net: -6.1% | Value: -201,510"
2026-04-11T02:03:43.774970,TRX/USDT,1637603.3380000002,1449114.992,188488.34600000014,53.05321584039709,46.94678415960293,6.1064316807941506,⚪,"⚪ Buy: 53.1% | Sell: 46.9% | Net: 6.1% | Value: 188,488"
2026-04-11T02:03:45.713275,AVAX/USDT,167837.25668,234390.02992,-66552.77324000001,41.72696937065532,58.27303062934468,-16.546061258689356,⚪,"⚪ Buy: 41.7% | Sell: 58.3% | Net: -16.5% | Value: -66,553"
2026-04-11T02:03:47.457394,DOT/USDT,1391146.58664,1812322.8172600002,-421176.23062000005,43.42624858368793,56.57375141631207,-13.147502832624136,⚪,"⚪ Buy: 43.4% | Sell: 56.6% | Net: -13.1% | Value: -421,176"
2026-04-11T02:03:48.587036,LINK/USDT,132010.29802264,140079.19056256,-8068.892539919994,48.517235527569206,51.482764472430794,-2.965528944861596,⚪,"⚪ Buy: 48.5% | Sell: 51.5% | Net: -3.0% | Value: -8,069"
2026-04-11T02:03:50.312995,SUI/USDT,992993.64,1155285.66,-162292.0199999999,46.22274394209357,53.77725605790644,-7.554512115812869,⚪,"⚪ Buy: 46.2% | Sell: 53.8% | Net: -7.6% | Value: -162,292"
2026-04-11T02:03:51.482891,SHIB/USDT,372053556244.85406,460382090439.5793,-88328534194.72522,44.6945728149356,55.3054271850644,-10.610854370128811,⚪,"⚪ Buy: 44.7% | Sell: 55.3% | Net: -10.6% | Value: -88,328,534,195"
2026-04-11T02:03:52.605161,LTC/USDT,12432.744,11685.02,747.7240000000002,51.55015199584837,48.449848004151626,3.1003039916967428,⚪,⚪ Buy: 51.6% | Sell: 48.4% | Net: 3.1% | Value: 748
2026-04-11T02:03:53.817176,ATOM/USDT,966420.8874199998,1274963.0362800001,-308542.1488600003,43.11715084601237,56.88284915398762,-13.765698307975255,⚪,"⚪ Buy: 43.1% | Sell: 56.9% | Net: -13.8% | Value: -308,542"
2026-04-11T02:03:55.122238,XLM/USDT,780546.1,870122.68,-89576.58000000007,47.28665795690399,52.71334204309601,-5.426684086192027,⚪,"⚪ Buy: 47.3% | Sell: 52.7% | Net: -5.4% | Value: -89,577"
2026-04-11T02:03:56.273226,UNI/USDT,1178342.60032,1413874.8842799996,-235532.28395999968,45.45693435525252,54.54306564474748,-9.086131289494958,⚪,"⚪ Buy: 45.5% | Sell: 54.5% | Net: -9.1% | Value: -235,532"
2026-04-11T02:03:57.842382,ICP/USDT,195705.57781000002,200286.25619000001,-4580.678379999998,49.42161959077166,50.57838040922834,-1.1567608184566749,⚪,"⚪ Buy: 49.4% | Sell: 50.6% | Net: -1.2% | Value: -4,581"
2026-04-11T02:03:59.159987,APT/USDT,75535.21092,64210.645979999994,11324.564940000004,54.05184282067972,45.94815717932029,8.103685641359435,⚪,"⚪ Buy: 54.1% | Sell: 45.9% | Net: 8.1% | Value: 11,325"
2026-04-11T02:04:00.310202,NEAR/USDT,3728454.6115599996,4578631.21114,-850176.5995800006,44.8828228230362,55.11717717696381,-10.23435435392761,⚪,"⚪ Buy: 44.9% | Sell: 55.1% | Net: -10.2% | Value: -850,177"
2026-04-11T02:04:00.989953,AAPL,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:01.255557,MSFT,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:01.501134,GOOG,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:01.685960,GC=F,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:01.867787,CL=F,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:02.047491,TSLA,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
2026-04-11T02:04:02.252971,NVDA,0,0,0,0,0,0,⚪,⚪ Buy: 0.0% | Sell: 0.0% | Net: 0.0% | Value: 0
